Ticker,Earnings Date,Spot Price,Strike,Call Price,Put Price,Straddle Cost,Expected Move %,Expiration
TSM,2025-07-17,245.6,245.0,2.5,1.67,4.17,1.7,2025-07-18
NFLX,2025-07-17,1274.17,1275.0,41.25,39.75,81.0,6.36,2025-07-18
NVS,2025-07-17,114.52,115.0,0.45,0.8,1.25,1.09,2025-07-18
PEP,2025-07-17,145.44,145.0,1.15,0.66,1.81,1.24,2025-07-18
MMC,2025-07-17,211.04,210.0,2.27,0.6,2.87,1.36,2025-07-18
ELV,2025-07-17,302.45,300.0,4.0,1.0,5.0,1.65,2025-07-18
IBKR,2025-07-17,59.43,60.0,1.32,1.84,3.16,5.32,2025-07-18
WAL,2025-07-17,84.61,85.0,2.25,2.65,4.9,5.79,2025-07-18
OZK,2025-07-17,51.91,52.5,0.91,1.58,2.49,4.8,2025-07-18
EEFT,2025-07-17,101.06,100.0,1.6,0.6,2.2,2.18,2025-07-18
CNS,2025-07-17,75.56,75.0,3.5,0.7,4.2,5.56,2025-07-18
SFNC,2025-07-17,19.69,20.0,0.37,0.5,0.87,4.42,2025-07-18
WAFD,2025-07-17,29.74,30.0,0.2,0.53,0.73,2.45,2025-07-18
LU,2025-07-17,2.77,3.0,0.03,0.3,0.33,11.91,2025-07-18
MCB,2025-07-17,76.32,75.0,2.95,2.2,5.15,6.75,2025-07-18
IIIN,2025-07-17,36.08,35.0,4.8,0.17,4.97,13.77,2025-07-18
