Ticker,Spot Price,Strike,Straddle Cost,Expected Move %,Expiration,Play
TSM,246.51,247.5,3.81,1.55,2025-07-18,SELL straddle
NFLX,1270.92,1270.0,80.29,6.32,2025-07-18,BUY straddle
GE,261.87,262.5,4.97,1.9,2025-07-18,SELL straddle
NVS,114.09,115.0,1.59,1.39,2025-07-18,SELL straddle
ABT,120.95,120.0,1.91,1.58,2025-07-18,SELL straddle
PEP,144.63,145.0,2.2,1.52,2025-07-18,SELL straddle
MMC,211.85,210.0,2.35,1.11,2025-07-18,SELL straddle
ELV,304.97,300.0,10.03,3.29,2025-07-18,SELL straddle
IBKR,59.69,60.0,3.0,5.03,2025-07-18,SKIP
WAL,84.43,85.0,4.73,5.6,2025-07-18,SKIP
OZK,52.05,52.5,2.58,4.96,2025-07-18,SKIP
EEFT,101.13,100.0,2.85,2.82,2025-07-18,SELL straddle
CNS,75.86,75.0,4.2,5.54,2025-07-18,SKIP
SFNC,19.59,20.0,0.82,4.19,2025-07-18,SKIP
LU,2.78,3.0,0.33,11.89,2025-07-18,BUY straddle
WAFD,29.36,30.0,0.78,2.66,2025-07-18,SELL straddle
WABC,50.84,50.0,4.7,9.24,2025-07-18,BUY straddle
