Ticker,Earnings Date,Spot Price,Strike,Straddle Cost,Expected Move %,Expiration,Play,Current Est Value
TSM,2025-07-17,245.6,245.0,4.17,1.7,2025-07-18,SELL straddle,245.6
NFLX,2025-07-17,1274.17,1275.0,81.0,6.36,2025-07-18,BUY straddle,1274.17
NVS,2025-07-17,114.52,115.0,1.25,1.09,2025-07-18,SELL straddle,114.52
PEP,2025-07-17,145.44,145.0,1.81,1.24,2025-07-18,SELL straddle,145.44
MMC,2025-07-17,211.04,210.0,2.87,1.36,2025-07-18,SELL straddle,211.04
ELV,2025-07-17,302.45,300.0,5.0,1.65,2025-07-18,SELL straddle,302.45
EEFT,2025-07-17,101.06,100.0,2.2,2.18,2025-07-18,SELL straddle,101.06
WAFD,2025-07-17,29.74,30.0,0.73,2.45,2025-07-18,SELL straddle,29.74
LU,2025-07-17,2.77,3.0,0.33,11.91,2025-07-18,BUY straddle,2.77
MCB,2025-07-17,76.32,75.0,5.15,6.75,2025-07-18,BUY straddle,76.32
IIIN,2025-07-17,36.08,35.0,4.97,13.77,2025-07-18,BUY straddle,36.08
